ShopID,AccountName,BillingCity,BillingZip,Website,HasWebsite,DirectOrdering,Note
nan,Family House Of Pizza,Marlborough,1752,https://www.familyhouseofpizza.com/,True,True,
3595.0,Family Style Pizza - 3595,Framingham,1702,https://eatfamilystylepizza.com/?utm_source=google,True,True,
42156.0,Fastway Pizza - 42156,Worcester,1606,http://fastwaypizza.com/,True,True,
nan,FiDO Pizza,Boston,2134,http://www.fidopizza.com/,True,True,
111173.0,FIESTA BITES PIZZERIA - 111173,Arlington,2476,http://fiestabitespizzeria.com/,True,True,
nan,Fiorella's Express,Lexington,2421,https://www.fiorellas.com/,True,True,
nan,Fiorella's Trattoria,Lexington,2421,https://www.fiorellas.com/,True,True,
103687.0,For Pizza - 103687,Medford,2155,http://www.forpizza.com/,True,True,
nan,Framingham Sub Shop & Pizza,Framingham,1702,https://framinghamsubsandpizza.com/,True,True,
13556.0,Franco's Pizzeria & Pub - 13556,Waltham,2453,https://www.francospizzeriapub.com/?utm_source=gbp,True,True,
17457.0,Franco's Trattoria - 17457,Sudbury,1776,http://www.welovefrancos.com/,True,True,
56920.0,Friendly Pizza - 56920,Framingham,1702,http://orderfriendlypizza.com/,True,True,
51004.0,Friendly Town Pizza - 51004,Athol,1331,https://www.friendlytownpizza.com/?utm_source=gbp,True,True,
650.0,Friends Pizza - 650,Somerville,2145,https://www.friendspizzamenu.com/,True,True,
110100.0,From Scratch-Authentic Italian Pizzeria - 110100,Brighton,2135,http://www.fromscratch-g.com/,True,True,
35287.0,Gabby's Pizza - 35287,Winchendon,1475,https://www.gabbyspizza.com/,True,True,
44469.0,Garden Pizza & Seafood - 44469,Gardner,1440,https://gardenpizza24.com/,True,True,
39080.0,Garden Pizza & Sub - 39080,Worcester,1605,https://www.gardenpizzasub.com/?utm_source=gbp,True,True,
47117.0,Gaya Pizzeria - 47117,Somerville,2143,http://www.gayapizzeriamenu.com/?utm_source=gbp,True,True,
9467.0,George's Pizza - 9467,Natick,1760,http://www.georgespizzanatick.com/,True,True,
1139.0,Gerry's Italian Kitchen - 1139,Watertown,2472,http://gerrysitaliankitchen.com/,True,True,
nan,Giacomo's Ristorante,Wayland,1778,http://www.giacomoswayland.com/,True,True,
nan,Gianni's Deli And pizza,Needham,2494,http://www.giannisneedham.com/,True,True,
nan,Gianni's Pizza and Sub's Inc,Framingham,1701,https://giannispizzaframingham.com/pizza/,True,True,
54017.0,Gigi's Pizza Co - 54017,Watertown,2472,https://www.gigispizzaco.com/,True,True,
100661.0,Giorgio's Italian Pizzeria - 100661,Hudson,1749,https://giorgiospizzahudson.com/,True,True,
14162.0,Giovanni's Famous Pizza - 14162,Natick,1760,https://www.giovannishomeofpizza.com/,True,True,
nan,Gloria's Pizzeria,Winchester,1890,http://www.gloriaspizzeria.com/,True,True,
106047.0,Goda's Pizza - 106047,Holden,1520,https://godaspizza.com/,True,True,
nan,Graffiti Pizza and Street Food,Boston,2134,https://www.graffitistreetfood.com/,True,True,
nan,Gran Gusto,Cambridge,2140,http://www.grangustocambridge.com/,True,True,
100421.0,Granvitors Pizza - 100421,Medford,2155,https://granvitorpizzatogo.com/,True,True,
44918.0,Greendale Pizza - 44918,Worcester,1606,,False,False,Place not found
16081.0,Greenhouse Kitchen - 16081,Brighton,2135,,False,False,Place not found
17484.0,Gregory's House of Pizza - 17484,Belmont,2478,http://www.gregoryspizza.com/,True,True,
nan,Gufo,Cambridge,2141,http://gufocambridge.com/,True,True,
111955.0,Half Shell Pizza & More - 111955,Cambridge,2140,,False,False,No website
16907.0,Harvard House of Pizza - 16907,Cambridge,2138,http://harvardhouseofpizza.com/,True,True,
nan,Hearth Pizzeria,Needham,2492,http://hearthpizzeria.com/,True,True,
nan,Hiller's Pizza,Hopkinton,1748,http://www.hillerspizzeria.com/,True,True,
106035.0,Holden Pizza - 106035,Holden,1520,https://holdenpizza.pizza/?utm_source=google,True,True,
105701.0,Hot Box - 105701,Somerville,2143,https://www.eathotbox.com/,True,True,
nan,Hot Tomatoes,Somerville,2143,https://hottomatoesco.com/?utm_source=google,True,True,
34298.0,Hubbardston Pizza Palace - 34298,Hubbardston,1452,http://hubbardstonpizza.com/,True,True,
5956.0,Hudson House of Pizza - 5956,Hudson,1749,https://www.hudsonhouseofpizzeria.com/,True,True,
nan,Il Forno Brick Oven Pizza,Lunenburg,1462,http://www.il-forno.com/,True,True,
50185.0,Inbound Pizza - 50185,Allston,2134,http://www.myinboundpizza.com/,True,True,
nan,Ita's Pizza Kitchen,Worcester,1605,,False,False,No website
nan,Jack's Abby Brewing,Framingham,1702,http://jacksabby.com/,True,True,
